productTitle,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Just wow!,unbelievable,KOUSIK DUTTA,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Awesome,good mobile,Flipkart Customer,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Does the job,good,Rakesh  Ranjan,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Good,it's good,PabiT Gouda,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Wonderful,very nice,Sujal Patel,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Great product,very good selling,Flipkart Customer,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Classy product,super phone,Sadikul Kamal,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Pretty good,very niceGood Phone,Raushan Kumar,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Value-for-money,excellent phone in this price segment.,Saurabh  vishwakarma,"Aug, 2018"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,Good quality product,product is good  but screen brightness and clearity is poor.auto adjust brightness is not available...,Bhanu Sharma,"Aug, 2018"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Highly recommended,Very good build quality and fine finish... Drawer is quite small as it can't keep single pen.... Height adjustment is awesome feature of this table... I love it...,Flipkart Customer,"Sep, 2020"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Highly recommended,It is worth buying. Just that size appearing in the image is a bit larger as compare to the one delivered.Else it looks really cute and worth spending.,Bharti Singh,8 months ago
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Terrific,Such a Good product with such great price. Awesome table. Recommended,Sengku Sangma,"Jan, 2020"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Simply awesome,Good quality wood.Finishing is good.Iam full satisfied with product.Packing is also good and delivery is fast,ANSHUL Customer,"Feb, 2020"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,2,Unsatisfactory,Did not expect this from Flipkart. Apart from that the product is not even stable .,Karan Mankar,"Sep, 2020"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Does the job,"Dimensions are not as mentioned in the pictures. Table is much smaller.Expected length = 21.7""  Actual length = 19.5""Expected width = 13.8""  Actual width = 11.5""Expected height = 11.4""  Actual height = 9.5""",Tarun Ahuja,"Oct, 2020"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Unsatisfactory,Don't buy... very small and quality is also very poor. I was trying to return this product and get refund but there is no option for refund.... if you require such table it's better to go for local carpenter,Sandip  Gaikwad,"Dec, 2019"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Classy product,very bad product ..,Roshni Mathew,"Dec, 2019"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Worthless,"Unsatisfied  Table is so small in size ,highly recommend for children's. Also table is not properly maintained lie some of part are not fixed properly .so , think before u invest.",Flipkart Customer,9 months ago
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,4,Awesome,Good looking... Thanks Flipkart....,Madhusudhanan Jayabal,11 months ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Simply awesome,very good,akshay ballal,"Oct, 2019"
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Classy product,better,Flipkart Customer,"Oct, 2019"
